CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;7571106;Ordinária Classe A;91959;0.268000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;7571107;Ordinária Classe A;3944830;11.483000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;7571111;Ordinária Classe A;519136;1.511000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;7571112;Ordinária Classe A;14359600;41.800000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;7571113;Ordinária Classe A;34353130;100.000000
01.938.783/0001-11;2024-12-31;7;147342;CIA PARTICIPACOES ALIANCA DA BAHIA;7676614;Preferencial Classe A;0;0.000000
01.938.783/0001-11;2024-12-31;7;147342;CIA PARTICIPACOES ALIANCA DA BAHIA;7676615;Preferencial Classe A;0;100.000000
02.041.460/0001-93;2024-12-31;5;145326;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;7629629;Preferencial Classe A;2156054330;100.000000
02.041.460/0001-93;2024-12-31;5;145326;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;7629630;Preferencial Classe A;2156054330;100.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401192;Ordinária Classe A;1929000;73.936000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401197;Preferencial Classe B;1;10.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401198;Preferencial Classe B;1;10.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401199;Ordinária Classe A;680000;26.064000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401200;Preferencial Classe B;1;10.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401202;Preferencial Classe A;20;100.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401202;Preferencial Classe B;7;70.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401203;Ordinária Classe A;2609000;100.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401203;Preferencial Classe B;10;100.000000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;7401203;Preferencial Classe A;20;100.000000
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;7394216;Preferencial Classe A;459065;42.098000
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;7394271;Preferencial Classe A;631400;57.902000
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;7394274;Preferencial Classe A;1090465;100.000000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423630;Preferencial Classe B;355;0.004000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423634;Preferencial Classe B;4318334;48.177000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423642;Preferencial Classe B;3223271;35.960000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423642;Ordinária Classe B;208743;0.785000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423646;Preferencial Classe B;501789;5.598000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423646;Ordinária Classe B;26382163;99.215000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423695;Preferencial Classe B;918906;10.252000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423699;Preferencial Classe B;741;0.008000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423703;Preferencial Classe A;18686075;100.000000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423703;Ordinária Classe A;1722716;100.000000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423713;Preferencial Classe B;8963396;100.000000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423713;Ordinária Classe B;26590906;100.000000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423713;Preferencial Classe A;18686075;100.000000
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;7423713;Ordinária Classe A;1722716;100.000000
02.302.101/0001-42;2024-12-31;19;148027;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;7684984;Ordinária Classe A;3557788;24.194000
02.302.101/0001-42;2024-12-31;19;148027;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;7684984;Preferencial Classe A;0;0.000000
02.302.101/0001-42;2024-12-31;19;148027;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;7684992;Preferencial Classe A;2231333;28.342000
02.302.101/0001-42;2024-12-31;19;148027;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;7684993;Ordinária Classe A;11147149;75.803000
02.302.101/0001-42;2024-12-31;19;148027;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;7684993;Preferencial Classe A;44224;0.562000
02.302.101/0001-42;2024-12-31;19;148027;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;7684998;Ordinária Classe A;433;0.003000
