CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
59.105.999/0001-86;2020-01-01;4;104705;WHIRLPOOL S.A.;957;23;10;8197233;0.800000;20503796;4.320000;28701029;1.910000;2019-04-26
59.285.411/0001-13;2020-01-01;13;99500;BCO PAN S.A.;61727;258;282;3;0.000000;341124068;62.306280;341124071;28.307733;2020-12-04
59.418.806/0001-47;2020-01-01;6;104412;TRACK & FIELD CO S.A.;5;0;0;0;0.000000;57536221;79.919000;57536221;6.061000;2020-09-17
59.789.545/0001-71;2020-01-01;3;104300;POLPAR S.A.;5;2;0;0;0.000000;0;0.000000;0;0.000000;2020-04-28
60.398.369/0004-79;2020-01-01;14;103519;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;23053;205;37;43403849;99.996500;0;0.000000;43403849;99.996500;2020-04-23
60.444.437/0001-46;2020-01-01;11;100013;LIGHT SERVICOS DE ELETRICIDADE S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-04-28
60.476.884/0001-87;2020-01-01;6;103257;MAHLE METAL LEVE S.A.;66425;306;120;38492519;30.000000;0;0.000000;38492519;30.000000;2020-05-29
60.500.139/0001-26;2020-01-01;5;99313;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;13825;32;24;7456006;37.266600;24461094;94.551800;31917100;69.569900;2020-07-20
60.537.263/0001-66;2020-01-01;14;103592;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;3037;23;61;103710767;52.522000;0;0.000000;103710767;52.522000;2020-06-01
60.543.816/0001-93;2020-01-01;3;103221;IGUATEMI S.A.;20197;184;119;34833911;100.000000;0;0.000000;34833911;100.000000;2020-07-08
