CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
10.215.988/0001-60;2022-01-01;7;122067;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;Certificado de Recebíveis do Agronegócio;0;0;28
10.215.988/0001-60;2022-01-01;7;122067;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;Debêntures;0;0;78
10.234.027/0001-00;2022-01-01;5;121230;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;Debêntures;0;0;0
10.240.186/0001-00;2022-01-01;5;121231;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;Debêntures;0;0;0
10.285.590/0001-08;2022-01-01;12;124245;GRUPO DE MODA SOMA S.A.;Debêntures;36;20;43
10.319.900/0001-50;2022-01-01;2;120309;REGENERA RIO S.A.;Debêntures;168;3;3
10.319.900/0001-50;2022-01-01;2;120309;REGENERA RIO S.A.;Nota Comercial;0;2;0
10.324.624/0001-18;2022-01-01;2;116243;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Debêntures;13722;340;139
10.452.416/0001-02;2022-01-01;2;122397;REAG CAPITAL HOLDING S.A.;Certificado de Recebíveis do Agronegócio;0;0;0
10.488.244/0001-19;2022-01-01;1;116229;INFRASEC SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;2;0;5
10.531.501/0001-58;2022-01-01;1;115703;CONC AUTO RAPOSO TAVARES S.A.;Debêntures;9643;71;156
10.571.175/0001-02;2022-01-01;6;127320;URBA DESENVOLVIMENTO URBANO S.A.;Bônus de Subscrição;3;0;0
10.571.175/0001-02;2022-01-01;6;127320;URBA DESENVOLVIMENTO URBANO S.A.;Debêntures;0;0;3
10.608.405/0001-60;2022-01-01;18;125444;BARI SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;580;49;35
10.635.691/0001-53;2022-01-01;1;116124;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;Debêntures;0;0;0
10.647.979/0001-48;2022-01-01;4;125483;CONC ROTA DAS BANDEIRAS S.A.;Debêntures;18106;565;0
